Date,Open,High,Low,Close,Adj Close,Volume
2017-06-07,123.870003,124.110001,123.239998,123.5,120.727028,1138900
2017-06-08,123.5,124.519997,123.190002,123.779999,121.000755,1821400
2017-06-09,123.860001,125.25,123.779999,125.230003,122.418198,1038500
2017-06-12,125.209999,125.66999799999999,124.779999,125.66999799999999,122.84830500000001,1534100
2017-06-13,125.57,126.099998,125.32,126.099998,123.26866100000001,1297600
2017-06-14,126.400002,128.169998,126.059998,127.959999,125.086899,1572800
2017-06-15,127.940002,129.28999299999998,127.83000200000001,129.020004,126.123093,1820600
2017-06-16,129.479996,129.600006,128.25,129.440002,126.53366100000001,2470700
2017-06-19,129.399994,129.490005,128.020004,128.270004,125.389946,1405900
2017-06-20,128.350006,129.149994,128.300003,128.75,125.85916100000001,1163700
2017-06-21,128.75,129.100006,128.389999,128.580002,125.692978,1115300
2017-06-22,128.169998,128.71000700000002,128.149994,128.309998,125.42903100000001,1116500
2017-06-23,128.0,128.639999,127.16999799999999,127.660004,124.79363300000001,1899300
2017-06-26,127.599998,128.169998,127.290001,127.949997,125.077118,1004800
2017-06-27,128.380005,128.380005,127.33000200000001,127.379997,124.51990500000001,1027500
2017-06-28,127.730003,128.429993,127.389999,127.779999,124.91093400000001,1324700
2017-06-29,128.220001,128.229996,125.959999,126.389999,123.55214699999999,1909100
2017-06-30,126.519997,126.91999799999999,125.800003,126.529999,123.68901100000001,1186500
2017-07-03,126.980003,128.240005,126.690002,127.339996,124.480804,932700
2017-07-05,127.470001,127.470001,126.129997,126.370003,123.53260800000001,1402600
2017-07-06,126.510002,127.050003,126.0,126.18,123.34687,1014600
2017-07-07,126.790001,127.279999,126.010002,127.16999799999999,124.31462900000001,987100
2017-07-10,126.57,126.980003,125.769997,125.769997,122.946068,1518100
2017-07-11,125.959999,126.019997,124.349998,125.050003,122.24223300000001,937300
2017-07-12,125.610001,125.900002,124.980003,125.25,122.437744,1034500
2017-07-13,125.25,125.68,124.760002,125.43,122.613701,886700
2017-07-14,125.25,125.970001,124.620003,125.720001,122.897194,1382400
2017-07-17,126.040001,126.279999,125.449997,126.230003,123.395744,937400
2017-07-18,126.050003,126.089996,125.07,125.529999,122.711449,1407700
2017-07-19,125.970001,126.58000200000001,124.589996,126.459999,123.620575,1324100
2017-07-20,123.279999,125.410004,122.889999,124.57,121.773018,2219400
