Date,Open,High,Low,Close,Adj Close,Volume
2017-06-07,131.0,131.479996,130.580002,130.75,127.366501,5765200
2017-06-08,130.75,131.399994,129.96000700000002,130.550003,127.171669,8056700
2017-06-09,130.369995,131.699997,130.309998,131.529999,128.126297,5992500
2017-06-12,131.529999,131.830002,131.419998,131.820007,128.40881299999998,8020700
2017-06-13,131.75,132.729996,131.399994,132.020004,128.603638,5733800
2017-06-14,132.509995,133.559998,132.509995,132.770004,129.33421299999998,7329400
2017-06-15,132.0,133.350006,131.809998,133.03999299999998,129.597229,5265000
2017-06-16,133.720001,134.600006,133.03999299999998,134.350006,130.873352,12639600
2017-06-19,134.149994,134.679993,133.490005,134.070007,130.60058600000002,7488700
2017-06-20,133.899994,134.759995,133.899994,134.220001,130.746704,5201200
2017-06-21,134.28999299999998,135.110001,134.020004,134.91000400000001,131.418854,5841100
2017-06-22,135.449997,137.0,135.270004,136.050003,132.529358,7311000
2017-06-23,135.449997,136.509995,135.320007,136.429993,132.899506,9007100
2017-06-26,136.479996,136.899994,136.199997,136.33999599999999,132.811844,5561800
2017-06-27,136.5,136.729996,134.990005,135.009995,131.516251,6120500
2017-06-28,135.949997,136.199997,133.570007,133.820007,130.357071,6557900
2017-06-29,133.399994,133.729996,132.309998,132.639999,129.207581,5750000
2017-06-30,132.699997,133.199997,132.279999,132.28999299999998,128.866638,5264400
2017-07-03,132.78999299999998,133.320007,132.649994,132.899994,129.460846,2931000
2017-07-05,132.979996,134.059998,132.419998,133.639999,130.181702,4302700
2017-07-06,133.610001,133.970001,132.41000400000001,132.520004,129.090698,4282200
2017-07-07,132.91000400000001,133.0,131.690002,132.53999299999998,129.110168,4994100
2017-07-10,132.740005,132.869995,131.229996,131.550003,128.14579799999998,4019600
2017-07-11,131.429993,131.78999299999998,130.479996,131.229996,127.83406799999999,3733100
2017-07-12,132.03999299999998,132.889999,131.770004,132.229996,128.80818200000002,5053200
2017-07-13,132.100006,132.220001,130.990005,131.860001,128.447769,4424400
2017-07-14,132.0,133.0,131.740005,132.600006,129.168625,4383100
2017-07-17,132.71000700000002,132.929993,131.75,132.149994,128.730255,4939400
2017-07-18,131.619995,134.949997,131.080002,134.46000700000002,130.980499,10256000
2017-07-19,134.83999599999999,135.41000400000001,134.520004,135.21000700000002,131.711075,5503300
2017-07-20,135.729996,137.080002,135.619995,136.570007,133.03590400000002,6088600
2017-07-21,135.330002,136.270004,135.100006,135.309998,131.808487,6773500
2017-07-24,134.990005,135.16000400000001,132.850006,133.009995,129.56800800000002,8306700
2017-07-25,133.740005,133.850006,131.449997,131.880005,128.467255,6262900
2017-07-26,131.66000400000001,132.240005,130.75,130.949997,127.561325,5382200
2017-07-27,130.850006,131.149994,129.570007,130.830002,127.444427,5838100
2017-07-28,131.139999,131.990005,130.520004,131.850006,128.43803400000002,4970900
2017-07-31,132.139999,133.580002,132.100006,132.720001,129.285522,5440800
2017-08-01,133.169998,133.350006,132.279999,132.509995,129.080948,3837600
2017-08-02,132.080002,132.5,131.5,132.16000400000001,128.740005,4032100
